nombre,cluster,calorias,proteina,grasa_total,carbohidratos,fibra
Maicena,18,381,0.26,0.1,91.27,0.9
"nueces, pecanas",9,691,9.17,72.0,13.86,9.6
"Berenjena, cruda",0,25,0.98,0.2,5.88,3.0
"Teff, crudo",2,367,13.3,2.4,73.13,8.0
Sorbete de naranja,0,144,1.1,2.0,30.4,1.3
"Coliflor, cruda",0,25,1.92,0.3,4.97,2.0
"Hojas de taro, crudas",0,42,4.98,0.7,6.7,3.7
"Cordero, crudo, molido",11,282,16.56,23.0,0.0,0.0
queso camembert,11,300,19.8,24.0,0.46,0.0
filetes vegetarianos,11,290,23.0,18.0,9.0,6.1
"PACE, Salsa Picante",0,25,0.0,0.0,6.25,3.1
"Bayas de Goji, secas",19,349,14.26,0.4,77.06,13.0
"Néctar de mango, enlatado",0,51,0.11,0.1,13.12,0.3
"Galletas saladas, tostadas de bizcocho",18,407,13.5,7.2,72.3,0.0
"Pollo, hervido, patas.",11,215,19.4,15.0,0.2,0.0
"Codorniz, cruda, solo carne",13,134,21.76,4.5,0.0,0.0
"Tarta, limón, empanadas fritas",10,316,3.0,16.0,42.6,2.6
"Pimientos, crudos, jalapeños",0,29,0.91,0.4,6.5,2.8
"Tubérculo de frijol alado, crudo",14,148,11.6,0.9,28.1,0.0
"Salami, pavo, cocido",13,172,19.2,9.2,1.55,0.1
"Uvas, crudas, muscadina",0,57,0.81,0.5,13.93,3.9
"Nueces crudas, nueces de ginkgo.",10,182,4.32,1.7,37.6,0.0
"Especias, molidas, ajedreas",17,272,6.73,5.9,68.73,45.7
Caramelos crujientes de sésamo,6,516,11.6,33.0,50.3,7.7
"Queso, bajo en grasa, crema",14,201,7.85,15.0,8.13,0.0
"PACE, Salsa Verde Para Tacos",0,25,0.0,0.0,6.25,0.0
"Jarabe, canadiense, arce",18,270,0.0,0.0,67.38,0.0
"Avestruz, cruda, lomo superior",13,119,21.67,3.0,0.0,0.0
"Chicle, sin azúcar",18,268,0.0,0.4,94.8,2.4
"Nueces secas, piñones",3,673,13.69,68.0,13.08,3.7
"Pasta, no enriquecida, seca",18,371,13.04,1.5,74.67,3.2
"McDONALD'S, ensalada de acompañamiento",0,20,1.03,0.2,4.3,1.6
"Galletas, galleta maría",18,406,7.05,11.0,70.54,3.5
"Brócoli, crudo, chino",0,30,1.2,0.8,4.67,2.6
"McDONALD'S, Hash Brown",10,271,2.48,16.0,28.56,2.8
"Agave, crudo (Suroeste)",12,68,0.52,0.2,16.23,6.6
"Emu, crudo, tambor exterior",13,103,23.08,0.5,0.0,0.0
"Nueces secas, hayas",3,576,6.2,50.0,33.5,0.0
"Grosellas, secas, zante",2,283,4.08,0.3,74.08,6.8
"Lentejas, crudas, germinadas",0,106,8.96,0.6,22.14,0.0
"Salsa, mezcla, seca, cebolla",2,322,9.0,3.0,67.64,6.0
"Pastel, fruta, pasteles fritos.",10,316,3.0,16.0,42.6,2.6
"Bocadillos, pasteles, palomitas de maíz.",18,384,9.7,3.1,80.1,2.9
"Merienda, barra de bayas mixtas",2,383,13.16,11.0,58.84,7.9
"Pescado, crudo, oveja",13,108,20.21,2.4,0.0,0.0
"Papillas, pera, zumo.",0,47,0.0,0.0,11.86,0.1
"Coles de Bruselas, crudas",0,43,3.38,0.3,8.95,3.8
"Raab de brócoli, cocido",0,33,3.83,0.5,3.12,2.8
"Aceite de mantequilla, anhidro",16,876,0.28,99.0,0.0,0.0
"Achicoria, cruda, ingeniosa",0,17,0.9,0.1,4.0,3.1
"Keebler, Conos de gofre",18,424,6.5,5.3,87.7,1.8
"Keebler, tazones para gofres",18,424,6.5,5.3,87.7,1.8
"Brócoli, crudo, hojas",0,28,2.98,0.4,5.06,2.3
"Durian, crudo o congelado",12,147,1.47,5.3,27.09,3.8
"Tomates, crudos, naranja",0,16,1.16,0.2,3.18,0.9
"Tomates, crudos, amarillos.",0,15,0.98,0.3,2.98,0.7
"Flanes de huevo, mezcla seca",18,410,6.9,6.4,82.8,0.0
"Harina de maní, baja en grasa",8,428,33.8,22.0,31.27,15.8
"Pescado ahumado, eglefino",13,116,25.23,1.0,0.0,0.0
"DENNY'S, papas fritas",10,282,3.41,14.0,35.2,3.5
"Pavo molido, cocido",7,203,27.37,10.0,0.0,0.0
"MURRAY, Oblea de vainilla",6,461,4.0,17.0,72.9,1.4
"WENDY'S, papas fritas",10,301,3.73,14.0,39.73,4.0
"Pan, tostado, trigo.",2,313,12.96,4.3,55.77,4.7
"pastelería danesa, queso",14,374,8.0,22.0,37.2,1.0
"Nueces, glaseadas, nueces",6,500,8.28,36.0,47.59,3.6
"Especias, ajo en polvo",19,331,16.55,0.7,72.73,9.0
"Aceite, lecitina de soja",16,763,0.0,100.0,0.0,0.0
"Huevo, fresco, crudo, yema",1,322,15.86,27.0,3.59,0.0
"Fireweed, crudo, hojas",12,103,4.71,2.8,19.22,10.6
"Carne de res, pastrami, curado",13,147,21.8,5.8,0.36,0.0
"Frankfurter, sin carne",11,233,19.61,14.0,7.7,3.9
"Emú, crudo, filete plano",13,102,22.25,0.7,0.0,0.0
"Emu, crudo, dentro del tambor",13,108,22.22,1.5,0.0,0.0
"helados, chocolate",10,216,3.8,11.0,28.2,1.2
"Aperitivos, palitos de patata",6,522,6.7,34.0,53.3,3.4
"Producto del USDA, salsa",0,36,1.5,0.2,7.0,1.4
"Higos, crudos, secos",19,249,3.3,0.9,63.87,9.8
"Carne de caza, cruda, caballo.",13,133,21.39,4.6,0.0,0.0
Almíbar con sabor a fruta,18,261,0.0,0.0,65.1,0.0
"Brócoli, crudo, tallos",0,28,2.98,0.4,5.24,0.0
"Crema, cultivada, agria",14,198,2.44,19.0,4.63,0.0
"Salsa, enlatada, au jus",0,16,1.2,0.2,2.5,0.0
"McDONALD'S, hamburguesa",14,264,12.92,10.0,30.28,1.3
